SelectVenue,TasteofFood,QualityofFood,ManuVariety,ValuefortheMoney,OrderAccuracy,SpeedofService,Ambiance,OverallSatisfaction,Recomendation
QuilimMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Good,Excellent,Excellent,Good,Fair,Excellent,Definitelyyes
TheRoyalBanquet,Good,Good,Fair,Good,Excellent,Good,Good,Good,Probablyyes
QuilimMarquee,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Definitelyyes
TheRoyalBanquet,Excellent,Good,Good,Good,Excellent,Good,Fair,Good,Probablyyes
QuilimMarquee,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Good,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
QuilimMarquee,Excellent,Good,Good,Excellent,Good,Excellent,Good,Good,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Good,Good,Fair,Good,Fair,Good,Probablyyes
QuilimMarquee,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Definitelyyes
QuilimMarquee,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Definitelyyes
FaisalabadMarriageHall,Good,Good,Fair,Fair,Good,Fair,Good,Good,Probablyyes
FaisalabadMarriageHall,Fair,Good,Fair,Good,Excellent,Excellent,Excellent,Good,Definitelyyes
FaisalabadMarriageHall,Good,Good,Poor,Good,Good,Fair,Good,Good,Probablyyes
FaisalabadMarriageHall,Good,Good,Fair,Good,Good,Fair,Fair,Good,Probablyyes
FaisalabadMarriageHall,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,Probablyyes
FaisalabadMarriageHall,Poor,Poor,Fair,Poor,Good,Good,Fair,Fair,Probablyno
FaisalabadMarriageHall,Good,Good,Fair,Good,Excellent,Excellent,Good,Good,Probablyyes
StarMarquee,Excellent,Excellent,Good,Good,Excellent,Good,Good,Excellent,Probablyyes
StarMarquee,Good,Excellent,Good,Good,Good,Good,Good,Good,Probablyyes
StarMarquee,Good,Excellent,Good,Good,Good,Excellent,Fair,Good,Probablyyes
ParadiseGrandMarquee,Good,Fair,Fair,Good,Good,Good,Good,Good,Probablyyes
